=== EWALUACJA HOLD-OUT ===
Trening: 10 obrazów | Test: 35 obrazów

--- Metoda: Filtr Frangi ---
Zdjęcie         | Acc      | Sens     | Spec     | G-Mean  
07_g.jpg        | 0.8999   | 0.8628   | 0.9030   | 0.8827  
07_h.jpg        | 0.8527   | 0.8689   | 0.8508   | 0.8598  
08_dr.JPG       | 0.9082   | 0.6718   | 0.9313   | 0.7910  
08_g.jpg        | 0.9135   | 0.8516   | 0.9190   | 0.8846  
08_h.jpg        | 0.8390   | 0.8895   | 0.8322   | 0.8604  
09_dr.JPG       | 0.9217   | 0.5123   | 0.9574   | 0.7004  
09_g.jpg        | 0.8646   | 0.8534   | 0.8656   | 0.8595  
09_h.jpg        | 0.8818   | 0.8353   | 0.8865   | 0.8605  
10_dr.JPG       | 0.7702   | 0.8922   | 0.7561   | 0.8214  
10_g.jpg        | 0.9249   | 0.8237   | 0.9334   | 0.8768  
10_h.jpg        | 0.8242   | 0.8679   | 0.8193   | 0.8432  
11_dr.JPG       | 0.8686   | 0.8555   | 0.8701   | 0.8628  
11_g.jpg        | 0.8897   | 0.8455   | 0.8942   | 0.8695  
11_h.jpg        | 0.7532   | 0.9503   | 0.7286   | 0.8321  
12_dr.JPG       | 0.8935   | 0.8008   | 0.9016   | 0.8497  
12_g.jpg        | 0.9050   | 0.8267   | 0.9135   | 0.8690  
12_h.jpg        | 0.8699   | 0.9256   | 0.8621   | 0.8932  
13_dr.JPG       | 0.8919   | 0.8155   | 0.8986   | 0.8560  
13_g.jpg        | 0.8464   | 0.8737   | 0.8440   | 0.8587  
13_h.jpg        | 0.7847   | 0.9160   | 0.7696   | 0.8396  
14_dr.JPG       | 0.8971   | 0.7668   | 0.9100   | 0.8354  
14_g.jpg        | 0.8136   | 0.8526   | 0.8101   | 0.8311  
14_h.jpg        | 0.7566   | 0.9168   | 0.7382   | 0.8226  
15_dr.JPG       | 0.8801   | 0.8444   | 0.8831   | 0.8635  
15_g.jpg        | 0.8194   | 0.8471   | 0.8168   | 0.8318  
15_h.jpg        | 0.9164   | 0.8269   | 0.9256   | 0.8748  

--- Metoda: Sieć neuronowa (CNN) ---
Zdjęcie         | Acc      | Sens     | Spec     | G-Mean  
---------------------------------------------------------
04_g.jpg        | 0.9290   | 0.5584   | 0.9595   | 0.7320  
04_h.jpg        | 0.8168   | 0.8927   | 0.8072   | 0.8489  
05_dr.JPG       | 0.8509   | 0.8253   | 0.8529   | 0.8390  
